cpc_1,cpc_2,convergence_prob,actually_converged,jaccard_cutoff,jaccard_target,convergence_type
C12P,C12Y,0.3158,1,0.082412,0.183496,ASYM
G05B,F02D,0.2499,0,0.016758,0.005016,SYM
C04B,F01N,0.1682,0,0.051593,0.032676,SYM
B60W,B60Y,0.1595,0,0.074264,0.114607,GPT
H10D,H10K,0.1433,0,0.047033,0.039724,SYM
C09D,C09C,0.1227,0,0.05163,0.048591,GPT
C12P,C12Q,0.1068,0,0.025586,0.027986,SYM
A61K,A01N,0.0961,0,0.012153,0.019769,GPT
B01D,F01M,0.0842,0,0.017751,0.015181,GPT
C08L,C08C,0.0758,0,0.023688,0.031678,GPT
C07D,C09B,0.0614,0,0.016356,0.023022,GPT
H01J,H05B,0.0607,0,0.022173,0.014606,SYM
A61K,A23V,0.0564,0,0.022908,0.031903,GPT
F16H,F16F,0.0552,0,0.016987,0.015508,ASYM
H10H,C09K,0.0544,0,0.038035,0.064989,GPT
G01L,G01D,0.0523,0,0.060937,0.054002,SYM
C08G,D06M,0.0505,0,0.020987,0.014346,GPT
B82Y,G03F,0.048,0,0.062192,0.057968,ASYM
B60L,H02P,0.0451,0,0.045952,0.041342,ASYM
G07D,B42D,0.0438,0,0.088197,0.116599,SYM
B05B,C23C,0.0433,0,0.014853,0.017445,ASYM
G01R,H01R,0.0414,0,0.019496,0.019374,SYM
G02B,G03B,0.0392,0,0.072157,0.073752,GPT
C23C,F01D,0.039,0,0.038812,0.026813,SYM
H01B,H01M,0.0381,0,0.055397,0.030899,ASYM
B22F,H01F,0.0366,0,0.04065,0.048847,SYM
A45D,B26B,0.0365,0,0.098993,0.044706,ASYM
B21D,B30B,0.0363,0,0.052381,0.046539,ASYM
A61P,A23K,0.0355,0,0.010251,0.014144,GPT
A61F,G02C,0.0352,0,0.017455,0.020276,GPT
A61K,C08B,0.0349,0,0.008118,0.010395,GPT
H01L,C09K,0.0346,0,0.029204,0.036962,ASYM
A61L,B65B,0.0344,0,0.017731,0.020962,ASYM
H03K,H03L,0.034,0,0.06,0.043382,ASYM
B01F,F01N,0.0331,0,0.017382,0.018959,SYM
H02K,H01F,0.0328,0,0.033774,0.037458,SYM
C10G,B01D,0.0326,0,0.017955,0.023951,GPT
A61F,A61H,0.0321,0,0.01752,0.02752,GPT
C23C,C25D,0.0315,0,0.05171,0.075342,GPT
A61B,G01T,0.0313,0,0.011978,0.015363,GPT
B60T,F04B,0.0308,0,0.019672,0.023574,SYM
B01L,C12M,0.0301,0,0.070648,0.066947,ASYM
B60C,B60B,0.03,0,0.027941,0.026316,ASYM
A61P,C07H,0.0295,0,0.021391,0.02591,GPT
C12P,C07C,0.0294,0,0.015059,0.01866,ASYM
C07D,H10K,0.029,1,0.015735,0.035869,GPT
C04B,B28B,0.0285,0,0.054205,0.05819,GPT
D21H,B32B,0.0278,0,0.02031,0.022708,GPT
A61K,C07H,0.027,0,0.016038,0.021706,GPT
B62D,E02F,0.027,0,0.031147,0.02851,GPT
G01P,G01C,0.0268,0,0.052461,0.063932,ASYM
C08J,B29B,0.0249,0,0.047025,0.047838,GPT
B23Q,B25B,0.0249,0,0.050456,0.057945,ASYM
F16H,F16G,0.0246,0,0.015724,0.013623,GPT
G11B,G03H,0.0239,0,0.039014,0.025465,GPT
F16J,F16D,0.0235,0,0.021357,0.015445,ASYM
H04L,H03F,0.0234,0,0.008136,0.006709,GPT
C12N,A01H,0.0233,0,0.010284,0.01663,GPT
B65B,B67C,0.023,0,0.045245,0.058361,GPT
C07D,C07B,0.0227,0,0.030658,0.047445,GPT
G01P,F16C,0.0225,0,0.032141,0.019129,ASYM
B65H,B43M,0.0224,0,0.02583,0.012947,GPT
A61P,C07B,0.0223,0,0.008534,0.016571,GPT
F16H,B60L,0.0222,0,0.055477,0.034431,ASYM
H01J,H01K,0.022,0,0.035971,0.018148,GPT
G01B,G06T,0.0218,0,0.026846,0.037713,ASYM
F05B,F03B,0.0214,0,0.138167,0.148905,GPT
A61K,C07C,0.0213,0,0.032226,0.040307,GPT
H05B,F24H,0.0212,0,0.02521,0.038323,GPT
F04B,F25B,0.0211,0,0.035422,0.026107,SYM
C07D,C08F,0.0207,0,0.009175,0.00833,ASYM
D21G,F16C,0.0205,0,0.019979,0.005752,GPT
C08K,H01B,0.0202,0,0.035757,0.04598,GPT
B41J,B26D,0.02,0,0.022409,0.016964,ASYM
F05D,F02K,0.0196,0,0.107771,0.113246,GPT
G06Q,G07B,0.0195,0,0.035449,0.026155,GPT
G01N,C12M,0.0195,0,0.015942,0.02073,GPT
F05D,F01D,0.0192,0,0.588207,0.59553,SYM
H01L,H05B,0.0191,0,0.016046,0.020408,ASYM
C09D,C23C,0.0189,0,0.022559,0.0301,SYM
A61B,G01B,0.0187,0,0.014552,0.016616,GPT
F02C,B64D,0.0185,0,0.066315,0.068398,SYM
C04B,F16D,0.0184,0,0.018991,0.007911,SYM
B60K,B60Y,0.018,0,0.118909,0.190262,GPT
H04B,H04Q,0.018,0,0.020199,0.025469,GPT
G02B,G01J,0.0175,0,0.02191,0.025449,GPT
C07K,C12Q,0.0173,0,0.061049,0.049922,ASYM
A61K,A23K,0.0166,0,0.011691,0.01375,GPT
B60B,F16C,0.0163,0,0.070961,0.055139,GPT
A61N,A61H,0.0162,0,0.048209,0.048215,GPT
D21H,B05C,0.0155,0,0.043586,0.022643,SYM
C07D,C09K,0.0153,0,0.020366,0.035115,GPT
A61K,A61M,0.0149,0,0.010211,0.013651,GPT
F16L,F16J,0.0149,0,0.028427,0.028571,ASYM
C07C,C11B,0.0148,0,0.020414,0.021073,GPT
A61M,G16H,0.0148,0,0.02927,0.033843,GPT
B82Y,C01B,0.0144,0,0.061442,0.075435,ASYM
A61K,B82Y,0.0144,0,0.015933,0.013674,GPT
C08L,H01B,0.0143,0,0.028006,0.034895,GPT
H01H,H03K,0.0142,0,0.032325,0.036907,SYM
A61M,B04B,0.0141,0,0.018364,0.011672,GPT
B04C,A47L,0.014,0,0.079075,0.046959,GPT
B82Y,C01P,0.0138,0,0.088435,0.104578,ASYM
B62D,B60P,0.0137,0,0.026586,0.022909,GPT
H02J,H02P,0.0137,0,0.049666,0.040922,SYM
C12Q,B01L,0.0137,0,0.038161,0.045159,ASYM
B32B,E04C,0.0135,0,0.024471,0.020739,GPT
H01J,H05H,0.0135,0,0.05,0.078961,GPT
C09B,D06P,0.0134,0,0.058505,0.048718,GPT
G01R,G01N,0.0133,0,0.014248,0.016493,GPT
F01D,B23P,0.0133,0,0.076711,0.055472,ASYM
H04B,H03G,0.0132,0,0.020188,0.012081,GPT
B21B,C21D,0.013,0,0.082664,0.085552,ASYM
B23Q,F16C,0.0129,0,0.018412,0.011009,ASYM
F21Y,F21W,0.0128,0,0.248421,0.214544,ASYM
C08K,C07F,0.0126,0,0.018373,0.0215,ASYM
C07F,C07B,0.0126,0,0.05895,0.051253,ASYM
B66F,B62D,0.0125,0,0.030045,0.026608,GPT
H01L,B81C,0.0124,0,0.023006,0.024992,GPT
B60K,F01P,0.012,0,0.023272,0.02502,GPT
G01R,G01D,0.012,0,0.033976,0.055731,SYM
H02K,H02P,0.012,0,0.063291,0.056101,ASYM
H01M,C25B,0.0118,0,0.031971,0.034834,GPT
A61N,A61M,0.0118,0,0.042092,0.041084,ASYM
C08K,C07C,0.0117,0,0.011201,0.014948,SYM
B01J,H01M,0.0117,0,0.027659,0.024938,ASYM
H04N,H03M,0.0116,0,0.028756,0.023412,GPT
C12N,C07H,0.0115,0,0.027271,0.034887,GPT
G02B,G11B,0.0115,0,0.016654,0.004755,ASYM
H01L,C30B,0.0115,0,0.04788,0.041985,GPT
A61K,C12Y,0.0114,0,0.016144,0.027276,GPT
F16J,F02F,0.0114,0,0.07717,0.077223,ASYM
H04B,G01S,0.0112,0,0.033418,0.021741,ASYM
C22C,B23K,0.0112,0,0.042286,0.065584,SYM
H01J,B82Y,0.011,0,0.037417,0.028609,ASYM
H01J,G09G,0.011,0,0.023386,0.002304,SYM
B29L,B29B,0.0109,0,0.072285,0.064194,ASYM
A61M,A61P,0.0108,0,0.007458,0.011909,GPT
H05K,C25D,0.0108,0,0.025172,0.01823,GPT
A61H,A63B,0.0108,0,0.099424,0.069369,SYM
G01R,H02J,0.0106,0,0.042487,0.057476,SYM
A61K,C07F,0.0104,0,0.012134,0.019199,GPT
