cpc_1,cpc_2,convergence_prob,horizon,convergence_type,jaccard_current,jaccard_slope,symmetry_ratio,acp_distance,absorption_max,corr_diff2,same_cluster
C12N,A01H,0.1488,2023-2028,GPT,0.02665,0.00134422,0.036,0.2224,0.9097,0.6262,0
H10K,G09F,0.1479,2023-2028,ASYM,0.073919,0.00940334,0.4807,0.0871,0.7857,0.8756,0
B65D,A47G,0.0769,2023-2028,GPT,0.032213,0.00176891,0.1426,0.0613,0.826,0.8441,0
A61F,G02C,0.072,2023-2028,GPT,0.023478,0.00043319,0.1515,0.3163,0.9097,0.9764,1
G05D,A01D,0.0606,2023-2028,GPT,0.046848,0.00304261,0.2331,0.0356,0.7857,0.604,1
H01L,C30B,0.0476,2023-2028,GPT,0.027458,0.00011301,0.0708,0.1563,0.7857,0.6521,1
G06V,B60W,0.0428,2023-2028,SYM,0.068825,0.00821183,0.6492,0.2489,0.7857,0.9921,0
G01J,H10F,0.0354,2023-2028,SYM,0.049708,0.001799,0.9853,0.229,0.9097,0.8252,0
H01M,A62C,0.0333,2023-2028,GPT,0.012816,0.00258812,0.0992,0.0587,0.7857,0.9443,1
B25J,A47L,0.0301,2023-2028,ASYM,0.045656,-0.00022678,0.4869,0.1129,0.7857,0.7663,1
A61F,D04H,0.0283,2023-2028,GPT,0.026217,0.00068755,0.1616,0.3653,0.9097,0.9079,0
G05D,B64U,0.0282,2023-2028,GPT,0.089888,0.00529395,0.2394,0.0484,0.7857,0.8734,1
C12N,A01K,0.0274,2023-2028,GPT,0.035326,0.00156565,0.1678,0.1754,0.7857,0.9909,0
C07F,B01J,0.0268,2023-2028,ASYM,0.036927,-0.00209794,0.3891,0.1536,0.0,0.3793,1
H02M,G05F,0.025,2023-2028,GPT,0.070549,0.00117933,0.1867,0.0551,0.7857,0.9943,1
G05D,A01B,0.0248,2023-2028,GPT,0.037263,0.00311738,0.1959,0.0279,0.7857,0.8521,1
H05B,F24H,0.0245,2023-2028,GPT,0.036605,0.00030234,0.1742,0.0822,0.7857,0.8096,1
B01D,F01M,0.0218,2023-2028,GPT,0.017077,-2.592e-05,0.0905,0.1261,0.0,0.2933,1
E21B,G06F,0.0215,2023-2028,GPT,0.004267,0.00017954,0.071,0.2275,0.7857,0.7012,0
F24F,B60H,0.0208,2023-2028,ASYM,0.041956,0.00102829,0.4439,0.0587,0.7857,0.9732,1
B64D,F02K,0.0202,2023-2028,GPT,0.072343,0.00092786,0.269,0.3699,0.7857,0.8876,0
B25J,A61H,0.0195,2023-2028,GPT,0.036538,9.778e-05,0.2961,0.1124,0.9097,0.7756,0
G02C,B29D,0.0173,2023-2028,ASYM,0.070807,0.00122186,0.3365,0.2483,0.9097,0.9348,0
G06F,A61B,0.0167,2023-2028,ASYM,0.029233,0.00167234,0.5859,0.2383,0.9097,0.9586,0
F16B,B25B,0.0158,2023-2028,ASYM,0.04349,0.00300768,0.3983,0.0546,0.7857,0.2672,1
B32B,D04H,0.0151,2023-2028,GPT,0.036556,0.00035421,0.1235,0.0636,0.826,0.8845,1
B32B,E04F,0.015,2023-2028,GPT,0.035222,0.001071,0.1425,0.0534,0.826,0.4719,0
B33Y,A61C,0.0148,2023-2028,ASYM,0.036496,0.0008081,0.3577,0.2526,0.9097,0.7623,0
C04B,B28B,0.0147,2023-2028,ASYM,0.111471,0.00897549,0.4127,0.0653,0.826,0.7393,0
G09G,H10K,0.0144,2023-2028,SYM,0.081667,0.00855848,0.777,0.2202,0.7857,0.7088,0
H04W,G06K,0.0129,2023-2028,GPT,0.012236,0.00049822,0.1042,0.5445,0.4975,0.9169,0
G11C,H03K,0.0126,2023-2028,SYM,0.045623,-0.00038527,0.6129,0.2258,0.4975,0.8671,1
G06T,A63F,0.0125,2023-2028,GPT,0.021876,0.00037141,0.0836,0.1798,0.4975,0.7928,1
A61B,G01L,0.0123,2023-2028,GPT,0.009546,0.00039156,0.1206,0.0479,0.9097,0.6605,0
B60Q,F21W,0.0119,2023-2028,SYM,0.132909,0.0145466,0.6139,0.1005,0.7857,0.7764,1
G06F,H05K,0.0118,2023-2028,GPT,0.032274,0.00093202,0.2026,0.2424,0.7857,0.8073,0
G02F,H01S,0.0117,2023-2028,ASYM,0.050682,0.00333408,0.3686,0.0757,0.9097,0.316,1
H04N,G01S,0.0109,2023-2028,ASYM,0.028522,0.00213853,0.529,0.1061,0.7857,0.9411,0
F16L,H02G,0.0107,2023-2028,ASYM,0.069731,0.00297735,0.5301,0.0751,0.7857,-0.1019,1
F16K,E03C,0.0107,2023-2028,GPT,0.043367,0.00149938,0.1876,0.0323,0.7857,0.2674,1
H04W,G08G,0.0106,2023-2028,GPT,0.02388,0.00305451,0.1239,0.5303,0.7857,0.7715,0
F16H,B62M,0.0106,2023-2028,GPT,0.036538,0.00271101,0.183,0.0448,0.7857,0.741,1
H04L,G06N,0.0106,2023-2028,GPT,0.024202,0.00416874,0.164,0.2165,0.4975,0.8202,0
B60Q,H05B,0.0102,2023-2028,ASYM,0.028571,0.00090582,0.4343,0.0922,0.7857,0.7905,1
A61B,G16H,0.01,2023-2028,GPT,0.152646,0.0097414,0.2629,0.3144,0.9097,0.9892,1
B32B,A61F,0.0096,2023-2028,SYM,0.023271,0.00027948,0.7641,0.3829,0.9097,0.9733,0
H04W,G08B,0.0095,2023-2028,GPT,0.015468,0.00076877,0.098,0.546,0.7857,0.9364,0
H04L,G06T,0.0095,2023-2028,ASYM,0.008558,0.00082527,0.3219,0.2854,0.4975,0.9326,0
H01L,G06F,0.009,2023-2028,GPT,0.009373,0.0004021,0.2231,0.2351,0.7857,0.9559,0
H04N,A61B,0.0087,2023-2028,SYM,0.020566,0.0005503,0.673,0.1554,0.9097,0.9491,0
F16B,A47B,0.0086,2023-2028,ASYM,0.060606,0.00098788,0.439,0.0608,0.7857,0.474,1
C12Q,G16B,0.0086,2023-2028,GPT,0.120941,0.00664097,0.2339,0.1504,0.9097,0.9845,1
F25B,B60H,0.008,2023-2028,ASYM,0.065906,-0.00028728,0.4211,0.0609,0.7857,0.6133,1
B65D,D21H,0.0078,2023-2028,GPT,0.021784,0.00258895,0.2155,0.0511,0.826,0.7237,1
F25D,A47B,0.0075,2023-2028,SYM,0.057452,0.00120834,0.646,0.0527,0.7857,0.7976,1
G05B,B25J,0.0074,2023-2028,ASYM,0.118689,0.00776843,0.4815,0.163,0.7857,0.923,0
B29D,A43B,0.0073,2023-2028,ASYM,0.087216,0.00368364,0.3861,0.0947,0.826,0.9627,1
B01J,F01N,0.0073,2023-2028,GPT,0.04791,0.00147123,0.2686,0.1342,0.0,0.2242,1
H04N,G11B,0.0072,2023-2028,GPT,0.029425,-0.0037422,0.0578,0.1304,0.4975,0.7161,1
A61P,C07C,0.0071,2023-2028,GPT,0.043249,-0.00097241,0.2512,0.4239,0.6931,0.8503,0
B01L,C12M,0.0069,2023-2028,ASYM,0.095422,0.00365798,0.514,0.2379,0.9097,0.83,1
A61B,G01S,0.0067,2023-2028,ASYM,0.02247,-0.00025818,0.3561,0.1024,0.9097,0.9514,0
H04M,G10L,0.0064,2023-2028,ASYM,0.045101,0.00128512,0.5533,0.1488,0.4975,0.633,1
G06F,B60W,0.006,2023-2028,GPT,0.015589,0.00218478,0.1604,0.2463,0.7857,0.9519,0
G01N,B07C,0.0059,2023-2028,GPT,0.00727,0.00019988,0.0276,0.1908,0.9097,0.9312,0
A61B,G06V,0.0057,2023-2028,ASYM,0.030411,0.00245608,0.4218,0.2368,0.9097,0.9559,0
B65H,G07D,0.0057,2023-2028,GPT,0.053527,-0.00242122,0.2514,0.1902,0.826,0.5354,1
B29C,C08K,0.0056,2023-2028,ASYM,0.044334,0.00136899,0.5519,0.1641,0.826,0.7736,1
B60W,G01S,0.0055,2023-2028,SYM,0.041306,0.00473584,0.769,0.1377,0.7857,0.972,1
A61B,B06B,0.0054,2023-2028,GPT,0.012116,0.00061163,0.0461,0.0889,0.9097,0.6491,1
G05B,B65G,0.0054,2023-2028,ASYM,0.021992,0.00211516,0.4394,0.1621,0.7857,0.8999,0
G06F,H04R,0.0052,2023-2028,GPT,0.021247,0.00141772,0.0969,0.2002,0.7857,0.911,0
A61B,H04R,0.0051,2023-2028,GPT,0.00986,0.00068817,0.1654,0.0941,0.9097,0.9743,0
A61K,C08G,0.005,2023-2028,GPT,0.012014,-0.00051244,0.2708,0.2991,0.826,0.5931,0
A61B,G06N,0.005,2023-2028,ASYM,0.017538,0.00325161,0.3134,0.3148,0.9097,0.8867,0
G02B,H01L,0.005,2023-2028,ASYM,0.015167,-2.89e-05,0.5888,0.0884,0.9097,0.9053,0
