cpc_1,cpc_2,convergence_prob,actually_converged,jaccard_cutoff,jaccard_target,convergence_type
B62D,B25J,0.7326,0,0.019925,0.035938,GPT
A23V,A23G,0.2506,0,0.106989,0.101852,SYM
B62D,B60D,0.184,0,0.019503,0.022435,GPT
B82Y,G01Q,0.1717,0,0.031306,0.015586,GPT
H04L,G10L,0.1202,0,0.008302,0.006807,GPT
F05B,F03B,0.1135,0,0.121739,0.144223,GPT
B01J,C40B,0.0876,0,0.084136,0.035598,GPT
A46B,A61C,0.086,0,0.077551,0.106522,ASYM
G02B,B81B,0.0816,0,0.015843,0.010176,GPT
B65H,B42C,0.0807,0,0.068912,0.039349,GPT
C07D,C09B,0.0775,0,0.01251,0.018321,GPT
H10N,H02N,0.0713,0,0.083763,0.102005,ASYM
B65D,B60P,0.0702,0,0.016148,0.015661,GPT
B01J,F01N,0.0682,0,0.041995,0.050723,ASYM
H04S,G10L,0.066,1,0.06044,0.152695,GPT
C07D,C12P,0.0658,0,0.010303,0.006554,GPT
H04N,G10L,0.0636,0,0.020302,0.016741,GPT
C07C,C11B,0.062,0,0.019112,0.020824,GPT
H10K,C09K,0.0519,0,0.100239,0.157062,ASYM
B01D,C07C,0.0511,0,0.019809,0.024705,SYM
C07D,C09K,0.0497,1,0.011944,0.026722,GPT
A61K,A23V,0.0493,0,0.019256,0.025506,GPT
A61K,C12Y,0.0483,0,0.013382,0.019181,GPT
H04B,H04M,0.0445,0,0.063497,0.086372,SYM
C07C,C01B,0.042,0,0.018079,0.021479,ASYM
A61M,F04B,0.0415,0,0.018999,0.025349,ASYM
B01L,C12M,0.0412,0,0.053633,0.067931,ASYM
B65H,B07C,0.0389,0,0.019943,0.02327,GPT
B23K,B23P,0.0382,0,0.069067,0.055452,ASYM
C01B,B82Y,0.038,0,0.049139,0.063252,ASYM
C08K,C07F,0.0377,0,0.015553,0.02053,ASYM
C21D,C23C,0.0374,0,0.034144,0.04409,ASYM
G06F,H04M,0.0355,0,0.055868,0.083601,SYM
H04L,H03D,0.0346,0,0.009002,0.003829,GPT
B21C,B21B,0.0344,0,0.103448,0.093923,SYM
B62D,B60P,0.033,0,0.027865,0.02547,GPT
A61K,A61F,0.0325,0,0.008394,0.010332,GPT
B62D,E02F,0.0319,0,0.022124,0.03,GPT
B62D,B66F,0.0318,0,0.027063,0.031296,GPT
B65D,A47K,0.0318,0,0.013561,0.015389,GPT
A61P,A23V,0.0316,0,0.017283,0.022325,GPT
H04L,G06K,0.0309,0,0.007768,0.006255,GPT
A61P,A23K,0.0292,0,0.009875,0.011457,GPT
A61M,F16K,0.0291,0,0.015094,0.017198,ASYM
A61M,G16H,0.0288,0,0.034755,0.030643,GPT
B60W,B60R,0.0287,0,0.020039,0.030849,ASYM
A61K,A01N,0.0284,0,0.011449,0.014618,GPT
B62D,G01L,0.0284,0,0.015973,0.009543,GPT
C12N,C40B,0.028,0,0.020317,0.016127,GPT
B65D,B67D,0.0261,0,0.023174,0.025663,GPT
H04B,G06K,0.0253,0,0.017854,0.024876,ASYM
F02D,H02N,0.0252,0,0.022737,0.009013,GPT
C11D,C23G,0.0251,0,0.05231,0.037409,GPT
H01L,B81C,0.0246,0,0.019894,0.022112,GPT
H04B,H03D,0.0238,0,0.025223,0.013316,GPT
F16L,F02M,0.0233,0,0.016651,0.026616,SYM
A61P,C12P,0.0233,0,0.011424,0.013421,GPT
A61K,A61N,0.0231,0,0.003681,0.00482,GPT
A01K,A01J,0.0229,0,0.038059,0.021097,GPT
B60P,B60R,0.0224,0,0.015183,0.009027,GPT
F02M,H10N,0.0221,0,0.026515,0.026316,ASYM
B01J,C07C,0.0216,0,0.098701,0.103604,SYM
H04R,H04M,0.0214,0,0.029174,0.041021,GPT
B29C,B29L,0.0211,0,0.427852,0.413098,ASYM
B60C,D07B,0.021,0,0.047736,0.036261,GPT
C07D,B01J,0.0207,0,0.016951,0.01294,ASYM
A61M,B04B,0.0205,0,0.018926,0.011891,GPT
A61P,C12Y,0.0201,0,0.012026,0.018673,GPT
B01D,A47L,0.02,0,0.012293,0.017916,GPT
G03F,B82Y,0.0185,0,0.040212,0.066881,ASYM
C08G,C07D,0.0185,0,0.01128,0.011739,ASYM
A61K,G01N,0.0184,0,0.041229,0.05032,ASYM
H04L,H03K,0.0182,0,0.008139,0.005458,GPT
B62D,G01D,0.0177,0,0.019563,0.009663,ASYM
G02B,G02C,0.0172,0,0.016671,0.028185,GPT
F01D,B23P,0.0171,0,0.064928,0.063146,ASYM
G02B,G03H,0.017,0,0.018141,0.019763,GPT
H10N,H10B,0.017,0,0.102679,0.134786,ASYM
F02D,F02N,0.017,0,0.056412,0.064181,GPT
G01R,H02J,0.017,0,0.02979,0.040713,ASYM
H04B,H04H,0.0168,0,0.021521,0.013373,GPT
D01F,B82Y,0.0167,0,0.029029,0.023658,GPT
B01D,B04C,0.0167,0,0.01493,0.017014,GPT
B60K,B60Y,0.0166,0,0.085609,0.135449,GPT
F21S,B60Q,0.0164,0,0.162602,0.110403,SYM
F24F,B60H,0.0161,0,0.071726,0.056687,SYM
H02K,F16C,0.016,0,0.046578,0.030517,SYM
B64C,F16F,0.0158,0,0.025052,0.03545,ASYM
F15B,E02F,0.0158,0,0.080612,0.104564,ASYM
A23L,A23K,0.0156,0,0.106061,0.101074,GPT
G06Q,H04M,0.0155,0,0.045537,0.048944,SYM
G02B,G11B,0.0154,0,0.017796,0.011374,ASYM
C08G,H10K,0.0152,0,0.024752,0.027879,GPT
A61K,A61B,0.0145,0,0.005488,0.005721,GPT
B60W,B60L,0.0144,0,0.165496,0.208567,ASYM
B62K,B62J,0.0144,0,0.187097,0.296378,ASYM
