cpc_1,cpc_2,prob_rupture,convergence_type,acteurs_communs
G05D,A01D,0.6681,GPT,88
G06Q,G07G,0.6071,GPT,93
F04C,F25B,0.5859,ASYM,125
H01L,H10B,0.5335,GPT,130
B01D,C07K,0.4992,SYM,430
F02D,F02P,0.4686,GPT,111
H10K,G09F,0.4557,ASYM,148
H01M,A62C,0.4527,GPT,64
A46B,A47L,0.4498,ASYM,72
B01D,F01M,0.4479,GPT,163
G06F,G01V,0.4396,GPT,345
G06F,G09F,0.4335,GPT,325
A61B,H04R,0.4111,GPT,283
B65G,B66F,0.4011,GPT,151
B65D,D21H,0.3924,GPT,142
B32B,B60J,0.3887,GPT,168
H01L,H01Q,0.364,ASYM,314
B65D,A47G,0.3488,GPT,226
F16H,B62M,0.3464,GPT,124
H05K,H02B,0.3438,GPT,149
G02B,G03H,0.3386,GPT,161
B65G,B07C,0.3244,GPT,154
G06F,G09B,0.3234,GPT,355
G06Q,G07C,0.3209,ASYM,412
H10D,G09G,0.3159,SYM,172
G02B,B23K,0.3038,ASYM,452
F24F,B60H,0.3003,ASYM,133
G06F,G06N,0.2941,GPT,946
A61F,G02C,0.2893,GPT,140
B64D,B64F,0.289,GPT,227
B60T,B64C,0.2877,SYM,78
G05D,A01B,0.2781,GPT,110
B01D,A47L,0.2762,GPT,152
A61M,A61H,0.2759,GPT,216
B29D,A43B,0.2746,ASYM,114
D01H,B65H,0.2687,GPT,44
A01D,A01G,0.2661,SYM,91
A61B,H01R,0.2567,GPT,299
B64D,B64U,0.2554,GPT,289
C12N,A01H,0.255,GPT,154
A47J,H05B,0.2527,ASYM,157
G02F,H01S,0.2519,ASYM,277
C08L,C08B,0.2512,GPT,381
F16K,E03C,0.239,GPT,129
C12N,A01K,0.238,GPT,350
C09K,F25B,0.229,SYM,157
F01D,F02K,0.2279,GPT,96
H04M,H05K,0.2258,SYM,319
B62D,B60P,0.2247,GPT,229
G02B,C03B,0.2124,GPT,156
A61B,G02C,0.2121,GPT,152
B32B,D04H,0.2033,GPT,306
G06F,B60W,0.2001,GPT,427
G06F,H03M,0.197,GPT,426
B60K,H01M,0.1914,SYM,345
B25J,A47L,0.191,ASYM,95
G06F,B41J,0.1899,GPT,217
E06B,C03C,0.1893,SYM,98
A61B,G01L,0.1879,GPT,404
H04N,G01B,0.187,ASYM,611
A61M,F16L,0.1861,ASYM,185
