year,conv_mean,conv_median,conv_p90,inter_cluster_conv,pct_growing,n_pairs
2002,-0.05609279875633039,-0.05388865234642698,0.09167594808326965,-0.09323026782149794,0.262,500
2003,-0.03756215542785115,-0.07902358733745823,0.21549265840213666,-0.09034405280448185,0.35,500
2004,-0.04312272853568149,-0.07681504805376219,0.206780712482804,-0.06440931409349214,0.378,500
2005,-0.05981161910701544,-0.07699780535783014,0.1758327652926704,-0.0718020702508611,0.33,500
2006,-0.05947483469197401,-0.0808130649057745,0.1648879892171562,-0.06447571026249112,0.354,500
2007,-0.05625546521358164,-0.058246513154675786,0.15776243862484465,-0.05035286032134252,0.35,500
2008,-0.036923397681367806,-0.055201147686032584,0.16146872445544028,-0.05496818681915775,0.37,500
2009,-0.03420290173907884,-0.04778672268432061,0.19485698359446785,-0.0517440454311085,0.36,500
2010,-0.03192188999010957,-0.04237388306293946,0.17112478491220656,-0.041757527759902296,0.36,500
2011,-0.024748674086863317,-0.05270041025787036,0.1870485767557877,-0.02035025853298872,0.38,500
2012,-0.035572410703232,-0.05355508506153953,0.1778230035919625,0.012755759594405537,0.374,500
2013,-0.05204856761117026,-0.06251223719624543,0.17304154551984027,-0.09801856224518807,0.382,500
2014,-0.06713413898639868,-0.05994816562866687,0.19415029726061833,-0.0015441338897215714,0.326,500
2015,-0.06207780488886471,-0.0509576192761501,0.1931700200489513,-0.1064672243096561,0.368,500
2016,-0.05980541329885475,-0.0522330748610238,0.17549105788300418,-0.11657986644536936,0.38,500
2017,-0.05502891706507387,-0.04351396909023761,0.19259536639318278,-0.11838582028615355,0.402,500
2018,-0.042871959949128124,-0.03201678022254415,0.20142802599012197,-0.10724668855443488,0.426,500
2019,-0.015680492857304988,-0.027609666195051438,0.19272809451434036,-0.06387631180162266,0.436,500
2020,-0.004563187577717633,-0.021865664321082924,0.21991020828656713,-0.03192343217828476,0.43,500
2021,-0.003908721375958961,-0.02884608327169804,0.20787593127241222,-0.04483486761194034,0.418,500
2022,0.0008133848153551266,-0.03232881126315246,0.19580017594147792,-0.03372960452417153,0.408,500
2023,0.027927809073985,-0.03299223145288961,0.2487430052052597,0.03205841226160353,0.43,500
