,A01,A21,A22,A23,A24,A41,A42,A43,A44,A45,A46,A47,A61,A62,A63,A99,B01,B02,B03,B04,B05,B06,B07,B08,B09,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B41,B42,B43,B44,B60,B61,B62,B63,B64,B65,B66,B67,B68,B81,B82,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C21,C22,C23,C25,C30,C40,D01,D02,D03,D04,D05,D06,D07,D10,D21,E01,E02,E03,E04,E05,E06,E21,F01,F02,F03,F04,F05,F15,F16,F17,F21,F22,F23,F24,F25,F26,F27,F28,F41,F42,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G16,G21,H01,H02,H03,H04,H05,H10,Y02,Y04,Y10
A01,4539,1,10,142,2,2,1,0,1,6,2,25,776,0,12,0,124,8,1,0,44,2,15,12,3,2,0,8,3,23,14,63,3,43,20,5,23,0,6,0,1,4,67,0,27,8,1,118,9,3,2,0,6,28,90,5,17,59,1,2075,124,126,9,88,404,0,3,0,3,13,2,1,0,9,1,0,14,0,33,7,8,20,42,30,3,49,5,12,2,2,7,1,9,2,14,67,4,9,0,9,24,17,4,0,7,5,3,160,13,4,1,45,26,8,7,14,4,4,0,0,1,22,8,2,4,7,1,334,0,519
A21,1,440,4,241,0,0,0,0,0,0,0,25,40,0,1,0,20,2,0,1,1,0,2,3,0,1,0,0,0,0,10,0,0,12,6,0,0,0,0,0,0,0,0,0,1,0,0,35,0,1,0,0,0,1,1,0,0,1,0,21,13,6,0,10,59,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,29,5,6,2,3,0,0,9,0,0,0,3,1,4,0,0,0,0,0,0,0,0,1,0,0,8,0,14,0,46
A22,10,4,213,31,0,0,0,0,0,0,0,7,4,0,0,0,1,3,0,1,3,0,3,0,0,0,0,5,0,1,4,2,0,19,6,0,12,0,1,0,0,0,0,0,1,0,0,43,0,0,0,0,0,0,1,0,0,0,0,0,21,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,78
A23,142,241,31,2627,28,0,0,0,0,2,0,48,694,0,5,0,152,9,5,1,14,0,3,6,1,0,4,2,0,0,10,4,0,33,21,0,16,0,1,0,0,0,3,0,0,0,0,136,0,12,0,0,7,24,28,2,3,17,1,305,113,71,8,180,334,17,1,0,1,3,1,1,0,3,1,0,0,0,12,1,0,17,0,1,0,1,1,0,0,0,2,1,0,0,1,7,1,1,0,5,9,53,29,0,26,1,0,18,2,6,1,1,1,3,0,0,0,0,0,0,1,2,1,1,2,15,1,141,0,396
A24,2,0,0,28,231,0,0,0,1,1,0,0,26,0,0,0,9,2,0,0,4,0,5,0,0,0,0,10,0,0,11,0,0,0,0,2,1,0,1,0,1,0,8,0,0,0,0,24,0,0,0,0,0,1,2,1,1,0,1,26,6,3,0,11,5,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,5,1,0,1,0,10,0,0,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0,4,0,1,0,56
A41,2,0,0,0,0,422,9,11,31,8,0,6,76,27,23,0,12,0,1,0,6,0,0,0,0,3,0,3,0,2,7,0,0,30,2,1,57,0,2,1,0,1,1,0,1,5,5,19,0,1,1,0,0,0,0,0,0,1,0,1,16,7,0,0,0,0,4,0,0,0,0,0,0,10,13,13,61,15,47,2,36,0,1,0,0,1,0,0,1,0,1,0,0,0,1,9,0,2,0,0,0,2,0,0,2,13,0,3,7,1,0,2,7,1,3,2,0,0,0,0,2,2,1,0,0,1,0,4,0,146
A42,1,0,0,0,0,9,65,5,5,2,0,2,5,8,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,10,0,2,7,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,5,2,0,1,0,16
A43,0,0,0,0,0,11,5,278,2,1,0,7,22,1,87,0,1,0,0,0,3,0,0,0,0,1,0,3,0,3,0,1,0,41,0,0,15,0,0,0,0,0,3,0,8,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,2,2,0,7,0,0,0,4,6,2,1,1,0,2,0,0,0,1,1,0,1,4,1,3,0,60
A44,1,0,0,0,1,31,5,2,577,15,1,9,28,1,2,0,0,0,0,0,2,0,0,0,0,8,6,6,5,1,3,0,1,58,0,13,9,0,2,2,1,7,21,0,0,2,3,44,0,0,1,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,7,3,3,0,0,0,2,12,32,9,7,0,32,0,1,0,0,2,1,2,1,0,0,0,0,0,0,24,0,1,0,0,0,0,0,0,1,0,0,2,5,0,22,0,2,5,0,10,0,0,0,0,0,4,1,0,0,1,1,0,0,433
A45,6,0,0,2,1,8,2,1,15,420,45,27,61,3,12,0,7,0,0,0,20,0,0,1,0,0,0,2,1,6,11,0,0,15,1,1,2,0,0,6,17,8,4,0,3,4,1,93,0,1,0,0,0,0,1,0,0,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,1,6,19,1,0,0,0,0,2,0,0,6,0,5,0,4,1,1,1,0,0,4,0,3,3,1,0,5,4,7,2,17,4,2,1,0,0,6,3,0,6,8,0,7,0,92
